DEPTH,RHOB,spike,flat_line,cycle_skip,washed_out,impossible_value,flag_count,severity,well_name
359.25,0.36108673,False,False,False,False,True,1,YELLOW,F02-1
359.4,0.36123261,False,False,False,False,True,1,YELLOW,F02-1
359.54998779,0.36137936,False,False,False,False,True,1,YELLOW,F02-1
359.7,0.36152649,False,False,False,False,True,1,YELLOW,F02-1
359.85,0.36167207,False,False,False,False,True,1,YELLOW,F02-1
360.0,0.36181623,False,False,False,False,True,1,YELLOW,F02-1
360.15,0.36196098,False,False,False,False,True,1,YELLOW,F02-1
360.3,0.36210674,False,False,False,False,True,1,YELLOW,F02-1
360.45001221,0.36225224,False,False,False,False,True,1,YELLOW,F02-1
360.6,0.36239743,False,False,False,False,True,1,YELLOW,F02-1
360.75,0.36254245,False,False,False,False,True,1,YELLOW,F02-1
360.9,0.36268786,False,False,False,False,True,1,YELLOW,F02-1
361.04998779,0.36283422,False,False,False,False,True,1,YELLOW,F02-1
361.2,0.36298025,False,False,False,False,True,1,YELLOW,F02-1
361.35,0.36312589,False,False,False,False,True,1,YELLOW,F02-1
361.5,0.3632721,False,False,False,False,True,1,YELLOW,F02-1
361.65,0.36342114,False,False,False,False,True,1,YELLOW,F02-1
361.8,0.36357298,False,False,False,False,True,1,YELLOW,F02-1
361.95001221,0.36372766,False,False,False,False,True,1,YELLOW,F02-1
362.1,0.36388388,False,False,False,False,True,1,YELLOW,F02-1
362.25,0.36404175,False,False,False,False,True,1,YELLOW,F02-1
362.4,0.36420098,False,False,False,False,True,1,YELLOW,F02-1
362.54998779,0.36436051,False,False,False,False,True,1,YELLOW,F02-1
362.7,0.36451992,False,False,False,False,True,1,YELLOW,F02-1
362.85,0.36467916,False,False,False,False,True,1,YELLOW,F02-1
363.0,0.36483854,False,False,False,False,True,1,YELLOW,F02-1
363.15,0.36499789,False,False,False,False,True,1,YELLOW,F02-1
363.3,0.36515716,False,False,False,False,True,1,YELLOW,F02-1
363.45001221,0.36531642,False,False,False,False,True,1,YELLOW,F02-1
363.6,0.36547557,False,False,False,False,True,1,YELLOW,F02-1
363.75,0.36563462,False,False,False,False,True,1,YELLOW,F02-1
363.9,0.36579311,False,False,False,False,True,1,YELLOW,F02-1
364.04998779,0.36594939,False,False,False,False,True,1,YELLOW,F02-1
